taxa	taxid	superkingdom	clade	kingdom	family	genus
Polynucleobacter sp. AP-Sving-400A-A2	2081049	Bacteria	NA	NA	Burkholderiaceae	Polynucleobacter
Streptomyces coelicolor	1902	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Leptospirillum ferriphilum	178606	Bacteria	NA	NA	Nitrospiraceae	Leptospirillum
Curtobacterium sp. MCBD17_026	2175621	Bacteria	Terrabacteria group	NA	Microbacteriaceae	Curtobacterium
Orthobunyavirus cuchillaense	1933176	Viruses	Riboviria	Orthornavirae	Peribunyaviridae	Orthobunyavirus
Hahella chejuensis	158327	Bacteria	NA	NA	Hahellaceae	Hahella
Methanocaldococcus jannaschii	2190	Archaea	Methanomada group	NA	Methanocaldococcaceae	Methanocaldococcus
Trypanosoma rangeli	5698	Eukaryota	Discoba	NA	Trypanosomatidae	Trypanosoma
Phytophthora cinnamomi	4785	Eukaryota	Sar	NA	Peronosporaceae	Phytophthora
Parasaccharibacter apium	1510841	Bacteria	NA	NA	Acetobacteraceae	Parasaccharibacter
Pseudanabaena sp. Chao 1811	2963092	Bacteria	Terrabacteria group	NA	Pseudanabaenaceae	Pseudanabaena
Massilia sp. NR 4-1	1678028	Bacteria	NA	NA	Oxalobacteraceae	Massilia
Plasmodium fragile	5857	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Microbulbifer sp. H12	3029061	Bacteria	NA	NA	Microbulbiferaceae	Microbulbifer
Aneurinibacillus sp. XH2	1450761	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Aneurinibacillus
Candidatus Phytoplasma mali	37692	Bacteria	Terrabacteria group	NA	Acholeplasmataceae	Candidatus Phytoplasma
Methanolacinia petrolearia	54120	Archaea	Stenosarchaea group	NA	Methanomicrobiaceae	Methanolacinia
Halobaculum sp. SYNS20	3032281	Archaea	Stenosarchaea group	NA	Haloferacaceae	Halobaculum
Shimwellia blattae	563	Bacteria	NA	NA	Enterobacteriaceae	Shimwellia
Staphylothermus marinus	2280	Archaea	TACK group	NA	Desulfurococcaceae	Staphylothermus
Variovorax sp. PDNC026	2811425	Bacteria	NA	NA	Comamonadaceae	Variovorax
Bartonella sp. HY406	2979331	Bacteria	NA	NA	Bartonellaceae	Bartonella
Shewanella chilikensis	558541	Bacteria	NA	NA	Shewanellaceae	Shewanella
Methanocaldococcus infernus	67760	Archaea	Methanomada group	NA	Methanocaldococcaceae	Methanocaldococcus
Sunrhavirus matariya	2956482	Viruses	Riboviria	Orthornavirae	Rhabdoviridae	Sunrhavirus
Candidatus Methanoplasma termitum	1577791	Archaea	NA	NA	Methanomassiliicoccaceae	Candidatus Methanoplasma
Cordyceps chanhua alternavirus 1	2936613	Viruses	Riboviria	Orthornavirae	Alternaviridae	Alternavirus
Hibiscus latent Singapore virus	185955	Viruses	Riboviria	Orthornavirae	Virgaviridae	Tobamovirus
Mycobacterium lepromatosis	480418	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacterium
Erwinia phage PEp14	1131315	Viruses	Duplodnaviria	Heunggongvirae	NA	Pavtokvirus
Pseudomonas sp. B21-010	2895471	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Mycobacterium sp. MOTT36Y	1168287	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacterium
Planococcus massiliensis	1499687	Bacteria	Terrabacteria group	NA	Planococcaceae	Planococcus
Corynebacterium sp. P4-C1	3059081	Bacteria	Terrabacteria group	NA	Corynebacteriaceae	Corynebacterium
Brevibacillus sp. 7WMA2	2683193	Bacteria	Terrabacteria group	NA	Paenibacillaceae	Brevibacillus
Amphiamblys sp. WSBS2006	1866961	Eukaryota	Opisthokonta	Fungi	Amphiacanthidae	Amphiamblys
Wolbachia endosymbiont (group B) of Camptogramma bilineatum	2953991	Bacteria	NA	NA	Anaplasmataceae	Wolbachia
Deinococcus irradiatisoli	2202254	Bacteria	Terrabacteria group	NA	Deinococcaceae	Deinococcus
Gammapapillomavirus 1	333926	Viruses	Monodnaviria	Shotokuvirae	Papillomaviridae	Gammapapillomavirus
Candidatus Hamiltonella defensa	138072	Bacteria	ant, tsetse, mealybug, aphid, etc. endosymbionts	NA	Enterobacteriaceae	Candidatus Hamiltonella
Asticcacaulis sp. ZE23SCel15	3059027	Bacteria	NA	NA	Caulobacteraceae	Asticcacaulis
Bifidobacterium sp. ESL0690	2983214	Bacteria	Terrabacteria group	NA	Bifidobacteriaceae	Bifidobacterium
Halovivax gelatinilyticus	2961597	Archaea	Stenosarchaea group	NA	Natrialbaceae	Halovivax
Companilactobacillus futsaii	938155	Bacteria	Terrabacteria group	NA	Lactobacillaceae	Companilactobacillus
Spiroplasma phoeniceum	47835	Bacteria	Terrabacteria group	NA	Spiroplasmataceae	Spiroplasma
Raoultella sp. X13	2259647	Bacteria	NA	NA	Enterobacteriaceae	Raoultella
Sclerotinia deltaflexivirus 1	2169865	Viruses	Riboviria	Orthornavirae	Deltaflexiviridae	Deltaflexivirus
Propionibacterium phage Enoki	1654780	Viruses	Duplodnaviria	Heunggongvirae	NA	Pahexavirus
Fohxhuevirus gastrointestinalis	2955907	Viruses	Duplodnaviria	Heunggongvirae	Intestiviridae	Fohxhuevirus
RD114 retrovirus	11834	Viruses	Riboviria	Pararnavirae	Retroviridae	Gammaretrovirus
Halobacteroides halobius	42422	Bacteria	Terrabacteria group	NA	Halobacteroidaceae	Halobacteroides
Methylacidiphilum sp. IT5	2795384	NA	NA	NA	NA	NA
Sulfolobus sp. S-194	2512240	Archaea	TACK group	NA	Sulfolobaceae	Sulfolobus
Moku virus	1906245	Viruses	Riboviria	Orthornavirae	Iflaviridae	Iflavirus
Paramecium bursaria Chlorella virus 1	10506	Viruses	Varidnaviria	Bamfordvirae	Phycodnaviridae	Chlorovirus
Pseudomonas sp. ATCC 43928	676210	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pelagovum pacificum	2588711	Bacteria	NA	NA	Paracoccaceae	Pelagovum
Polynucleobacter difficilis	556054	Bacteria	NA	NA	Burkholderiaceae	Polynucleobacter
Tomato aspermy virus	12315	Viruses	Riboviria	Orthornavirae	Bromoviridae	Cucumovirus
Serratia nematodiphila	458197	Bacteria	NA	NA	Yersiniaceae	Serratia
Halorubrum sp. PV6	634157	Archaea	Stenosarchaea group	NA	Haloferacaceae	Halorubrum
Pseudomonas sp. R32	1573704	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Kosakonia oryzae	497725	Bacteria	NA	NA	Enterobacteriaceae	Kosakonia
Chlorobium limicola	1092	Bacteria	FCB group	NA	Chlorobiaceae	Chlorobium
Candidatus Planktophila sulfonica	1884904	Bacteria	Terrabacteria group	NA	Candidatus Nanopelagicaceae	Candidatus Planktophila
Leclercia sp. 119287	2681308	Bacteria	NA	NA	Enterobacteriaceae	Leclercia
Pahexavirus PHL071N05	1982280	Viruses	Duplodnaviria	Heunggongvirae	NA	Pahexavirus
Pusillimonas sp. DMV24BSW_D	2716226	Bacteria	NA	NA	Alcaligenaceae	Pusillimonas
Candidatus Kinetoplastibacterium crithidii	33056	Bacteria	NA	NA	NA	Candidatus Kinetoplastibacterium
Streptomyces sp. PLM4	2929798	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Caldicellulosiruptor obsidiansis	717609	Bacteria	Terrabacteria group	NA	Caldicellulosiruptoraceae	Caldicellulosiruptor
Halorhodospira halophila	1053	Bacteria	NA	NA	Ectothiorhodospiraceae	Halorhodospira
Enterococcus lactis	357441	Bacteria	Terrabacteria group	NA	Enterococcaceae	Enterococcus
Pseudomonas sp. JS425	2829498	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Aeromonas sp. FDAARGOS 1409	2778058	Bacteria	NA	NA	Aeromonadaceae	Aeromonas
Acidovorax sp. GBBC 712	2940491	Bacteria	NA	NA	Comamonadaceae	Acidovorax
Eimeria maxima	5804	Eukaryota	Sar	NA	Eimeriidae	Eimeria
[Candida] haemuloni	45357	Eukaryota	Opisthokonta	Fungi	Metschnikowiaceae	NA
Thermococcus sibiricus	172049	Archaea	NA	NA	Thermococcaceae	Thermococcus
Echinicola rosea	1807691	Bacteria	FCB group	NA	Cyclobacteriaceae	Echinicola
Pahexavirus PHL037M02	1982275	Viruses	Duplodnaviria	Heunggongvirae	NA	Pahexavirus
Pahexavirus PHL112N00	1982285	Viruses	Duplodnaviria	Heunggongvirae	NA	Pahexavirus
Shewanella oneidensis	70863	Bacteria	NA	NA	Shewanellaceae	Shewanella
Pseudomonas sp. PMCC200344	3042028	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Cytobacillus oceanisediminis	665099	Bacteria	Terrabacteria group	NA	Bacillaceae	Cytobacillus
Euproctis digramma nucleopolyhedrovirus	307466	Viruses	NA	NA	Baculoviridae	Alphabaculovirus
Vibrio sp. STUT-A16	2976237	Bacteria	NA	NA	Vibrionaceae	Vibrio
Plasmodium cynomolgi	5827	Eukaryota	Sar	NA	Plasmodiidae	Plasmodium
Oceanicola sp. D3	2587163	Bacteria	NA	NA	Roseobacteraceae	Oceanicola
Polaribacter vadi	1774273	Bacteria	FCB group	NA	Flavobacteriaceae	Polaribacter
Bacillus sp. Cs-700	2589818	Bacteria	Terrabacteria group	NA	Bacillaceae	Bacillus
Tateyamaria omphalii	299262	Bacteria	NA	NA	Roseobacteraceae	Tateyamaria
Chryseobacterium turcicum	2898076	Bacteria	FCB group	NA	Weeksellaceae	Chryseobacterium
Spiroplasma sp. TU-14	1898044	Bacteria	Terrabacteria group	NA	Spiroplasmataceae	Spiroplasma
Dinoroseobacter shibae	215813	Bacteria	NA	NA	Roseobacteraceae	Dinoroseobacter
Vibrio sp. ABG19	2817385	Bacteria	NA	NA	Vibrionaceae	Vibrio
Pseudomonas sp. P13	520056	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Rickettsia endosymbiont of Bemisia tabaci	337479	Bacteria	NA	NA	Rickettsiaceae	Rickettsia
Vibrio sp. EJY3	1116375	Bacteria	NA	NA	Vibrionaceae	Vibrio
Chryseobacterium sp. G0186	2487064	Bacteria	FCB group	NA	Weeksellaceae	Chryseobacterium
Macrococcus sp. IME1552	1898474	Bacteria	Terrabacteria group	NA	Staphylococcaceae	Macrococcus
Kluyvera ascorbata	51288	Bacteria	NA	NA	Enterobacteriaceae	Kluyvera
Rickettsia asiatica	238800	Bacteria	NA	NA	Rickettsiaceae	Rickettsia
Mycolicibacterium senegalense	1796	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycolicibacterium
Vibrio maritimus	990268	Bacteria	NA	NA	Vibrionaceae	Vibrio
Anaplasma centrale	769	Bacteria	NA	NA	Anaplasmataceae	Anaplasma
Varicellovirus cervidalpha1	3050259	Viruses	Duplodnaviria	Heunggongvirae	Orthoherpesviridae	Varicellovirus
Pseudoalteromonas viridis	339617	Bacteria	NA	NA	Pseudoalteromonadaceae	Pseudoalteromonas
Campylobacter upsaliensis	28080	Bacteria	NA	NA	Campylobacteraceae	Campylobacter
Rosellinia necatrix partitivirus 2	859651	Viruses	Riboviria	Orthornavirae	Partitiviridae	Alphapartitivirus
Alloalcanivorax xenomutans	1094342	Bacteria	NA	NA	Alcanivoracaceae	Alloalcanivorax
Microbacterium neungamense	2810535	Bacteria	Terrabacteria group	NA	Microbacteriaceae	Microbacterium
Streptomyces sp. RLB1-9	2594454	Bacteria	Terrabacteria group	NA	Streptomycetaceae	Streptomyces
Thiosulfativibrio zosterae	2675053	Bacteria	NA	NA	Piscirickettsiaceae	Thiosulfativibrio
Bartonella clarridgeiae	56426	Bacteria	NA	NA	Bartonellaceae	Bartonella
Halomonas sp. KG2	2951138	Bacteria	NA	NA	Halomonadaceae	Halomonas
Pseudodesulfovibrio portus	231439	Bacteria	NA	NA	Desulfovibrionaceae	Pseudodesulfovibrio
Helicobacter sp. NHP19-012	2849642	Bacteria	NA	NA	Helicobacteraceae	Helicobacter
Yokohamavirus PEi21	1980942	Viruses	Duplodnaviria	Heunggongvirae	NA	Yokohamavirus
Ectocarpus siliculosus virus 1	37665	Viruses	Varidnaviria	Bamfordvirae	Phycodnaviridae	Phaeovirus
Escherichia sp. KS167_9B	2509666	Bacteria	NA	NA	Enterobacteriaceae	Escherichia
Ralstonia sp. RS647	2880989	Bacteria	NA	NA	Burkholderiaceae	Ralstonia
Thermotoga neapolitana	2337	Bacteria	NA	NA	Thermotogaceae	Thermotoga
Stenotrophomonas sp. DR822	2871174	Bacteria	NA	NA	Lysobacteraceae	Stenotrophomonas
Pseudorhodobacter turbinis	2500533	Bacteria	NA	NA	Paracoccaceae	Pseudorhodobacter
Roseovarius sp. THAF8	2587846	Bacteria	NA	NA	Roseobacteraceae	Roseovarius
Roseovarius sp. TM1035	391613	Bacteria	NA	NA	Roseobacteraceae	Roseovarius
Roseovarius sp. HL-MP18	2980108	Bacteria	NA	NA	Roseobacteraceae	Roseovarius
Sulfitobacter sp. W027	2867025	Bacteria	NA	NA	Roseobacteraceae	Sulfitobacter
Sulfitobacter sp. SK012	1389005	Bacteria	NA	NA	Roseobacteraceae	Sulfitobacter
Sulfitobacter sp. D7	1968541	Bacteria	NA	NA	Roseobacteraceae	Sulfitobacter
Sulfitobacter sp. SK011	1389004	Bacteria	NA	NA	Roseobacteraceae	Sulfitobacter
Sulfitobacter sp. CB2047	1525218	Bacteria	NA	NA	Roseobacteraceae	Sulfitobacter
Sulfitobacter sp. B30-2	2785912	Bacteria	NA	NA	Roseobacteraceae	Sulfitobacter
Sulfitobacter sp. SK025	1389011	Bacteria	NA	NA	Roseobacteraceae	Sulfitobacter
Sulfitobacter dubius	218673	Bacteria	NA	NA	Roseobacteraceae	Sulfitobacter
Leisingera sp. NJS204	2508307	Bacteria	NA	NA	Roseobacteraceae	Leisingera
Leisingera sp. M527	2867014	Bacteria	NA	NA	Roseobacteraceae	Leisingera
Ketogulonicigenium robustum	92947	Bacteria	NA	NA	Roseobacteraceae	Ketogulonicigenium
Octadecabacter temperatus	1458307	Bacteria	NA	NA	Roseobacteraceae	Octadecabacter
Octadecabacter antarcticus	1217908	Bacteria	NA	NA	Roseobacteraceae	Octadecabacter
Octadecabacter arcticus	53946	Bacteria	NA	NA	Roseobacteraceae	Octadecabacter
Thalassobius gelatinovorus	53501	Bacteria	NA	NA	Roseobacteraceae	Thalassovita
Lentibacter algarum	576131	Bacteria	NA	NA	Roseobacteraceae	Lentibacter
Mesorhizobium sp. WSM4904	3038545	Bacteria	NA	NA	Phyllobacteriaceae	Mesorhizobium
Mesorhizobium sp. M2A.F.Ca.ET.046.03.2.1	2493674	Bacteria	NA	NA	Phyllobacteriaceae	Mesorhizobium
Mesorhizobium sp. 131-2-5	2744519	Bacteria	NA	NA	Phyllobacteriaceae	Mesorhizobium
Mesorhizobium sp. C120A	2956824	Bacteria	NA	NA	Phyllobacteriaceae	Mesorhizobium
Mesorhizobium sp. C399B	2956833	Bacteria	NA	NA	Phyllobacteriaceae	Mesorhizobium
Mesorhizobium sp. 131-3-5	2744520	Bacteria	NA	NA	Phyllobacteriaceae	Mesorhizobium
Mesorhizobium sp. WSM1497	278153	Bacteria	NA	NA	Phyllobacteriaceae	Mesorhizobium
Rhizobium sp. CCGE532	2364272	Bacteria	NA	NA	Rhizobiaceae	Rhizobium
Rhizobium sp. Kim5	2020311	Bacteria	NA	NA	Rhizobiaceae	Rhizobium
Rhizobium laguerreae	1076926	Bacteria	NA	NA	Rhizobiaceae	Rhizobium
Bradyrhizobium sp. 187	2782655	Bacteria	NA	NA	Nitrobacteraceae	Bradyrhizobium
Labrenzia sp. THAF35	2587854	Bacteria	NA	NA	Stappiaceae	Labrenzia
Brucella inopinata	1218315	Bacteria	NA	NA	Brucellaceae	Brucella
Altererythrobacter ishigakiensis	476157	Bacteria	NA	NA	Erythrobacteraceae	Altererythrobacter
Azospirillum ramasamyi	682998	Bacteria	NA	NA	Azospirillaceae	Azospirillum
Acidiphilium cryptum	524	Bacteria	NA	NA	Acetobacteraceae	Acidiphilium
Komagataeibacter rhaeticus	215221	Bacteria	NA	NA	Acetobacteraceae	Komagataeibacter
Thalassospira indica	1891279	Bacteria	NA	NA	Thalassospiraceae	Thalassospira
Thalassospira sp. A40-3	2785908	Bacteria	NA	NA	Thalassospiraceae	Thalassospira
Minwuia sp. IMCC3060	3040675	Bacteria	NA	NA	Minwuiaceae	Minwuia
Ehrlichia canis	944	Bacteria	NA	NA	Anaplasmataceae	Ehrlichia
Pseudomonas sp. JY-Q	1338689	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. B21-021	2895476	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. IzPS59	2774459	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. RU47	2005388	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Pseudomonas sp. SWI44	2083053	Bacteria	NA	NA	Pseudomonadaceae	Pseudomonas
Marinobacter sp. AN1	2886046	Bacteria	NA	NA	Marinobacteraceae	Marinobacter
Xanthomonas sp. AM6	2982531	Bacteria	NA	NA	Lysobacteraceae	Xanthomonas
Stenotrophomonas sp. SXG-1	2682487	Bacteria	NA	NA	Lysobacteraceae	Stenotrophomonas
Stenotrophomonas sp. G4	2303750	Bacteria	NA	NA	Lysobacteraceae	Stenotrophomonas
Lysobacter avium	2781023	Bacteria	NA	NA	Lysobacteraceae	Lysobacter
Rhodanobacter sp. AS-Z3	3031330	Bacteria	NA	NA	Rhodanobacteraceae	Rhodanobacter
Frateuria aurantia	81475	Bacteria	NA	NA	Rhodanobacteraceae	Frateuria
Citrobacter sp. R56	1573676	Bacteria	NA	NA	Enterobacteriaceae	Citrobacter
Lelliottia sp. WB101	2153385	Bacteria	NA	NA	Enterobacteriaceae	Lelliottia
Erwinia sp. QL-Z3	2547962	Bacteria	NA	NA	Erwiniaceae	Erwinia
Serratia sp. JSRIV002	2831894	Bacteria	NA	NA	Yersiniaceae	Serratia
Providencia sp. 21OH12SH02B-Prov	3015951	Bacteria	NA	NA	Morganellaceae	Providencia
Acinetobacter sp. AOR07_HL	2919376	Bacteria	NA	NA	Moraxellaceae	Acinetobacter
Shewanella rhizosphaerae	2864207	Bacteria	NA	NA	Shewanellaceae	Shewanella
Halomonas binhaiensis	2562282	Bacteria	NA	NA	Halomonadaceae	Halomonas
Halomonas alkalicola	1930622	Bacteria	NA	NA	Halomonadaceae	Halomonas
Marinobacterium sediminicola	518898	Bacteria	NA	NA	Oceanospirillaceae	Marinobacterium
Aeromonas sp. ASNIH3	1636608	Bacteria	NA	NA	Aeromonadaceae	Aeromonas
Aeromonas sp. FDAARGOS 1405	2778054	Bacteria	NA	NA	Aeromonadaceae	Aeromonas
Aeromonas simiae	218936	Bacteria	NA	NA	Aeromonadaceae	Aeromonas
Spiribacter curvatus	1335757	Bacteria	NA	NA	Ectothiorhodospiraceae	Spiribacter
Wenzhouxiangella marina	1579979	Bacteria	NA	NA	Wenzhouxiangellaceae	Wenzhouxiangella
Vibrio tasmaniensis	212663	Bacteria	NA	NA	Vibrionaceae	Vibrio
Burkholderia sp. MSMB0856	1637869	Bacteria	NA	NA	Burkholderiaceae	Burkholderia
Massilia sp. Dwa41.01b	2709302	Bacteria	NA	NA	Oxalobacteraceae	Massilia
Acidithiobacillus sp. YTS05	2927876	Bacteria	NA	NA	Acidithiobacillaceae	Acidithiobacillus
Curtobacterium sp. MCLR17_031	2175622	Bacteria	Terrabacteria group	NA	Microbacteriaceae	Curtobacterium
Mycobacterium shottsii	133549	Bacteria	Terrabacteria group	NA	Mycobacteriaceae	Mycobacterium
Rhodococcus sp. ZPP	2749906	Bacteria	Terrabacteria group	NA	Nocardiaceae	Rhodococcus
